scenario,deal_name,year,relative_year,active,asset_value,debt_balance,assumed_liabilities,net_equity_value,noi,gross_rent,debt_service,capex,free_cashflow_after_debt_and_capex,dscr,prior_refi_liability,ending_refi_liability,max_debt_supported,cash_out_before_refi_costs,refi_costs,refi_capacity,refi_proceeds,refi_liability_added,deal_nav_before_refi_liability,deal_nav_after_refi_liability,deal_nav,entry_equity_cushion,value_to_new_equity_multiple,new_equity_required,refinance_proceeds_use
jon_property_shock_40,jon_deal_1,4,4,True,8901672.0,6427200.0,0.0,2474472.0,1210000.0,0.0,482040.0,133400.0,594560.0,2.5101651315243547,0.0,0.0,6231170.399999999,-196029.60000000056,0.0,0.0,0.0,0.0,2474472.0,2474472.0,2474472.0,0.0,0.824824,3000000.0,fund_liquidity
jon_property_shock_40,jon_deal_1,5,5,True,9863052.576000001,6427200.0,0.0,3435852.5760000013,1246300.0,0.0,482040.0,49852.0,714408.0,2.5854700854700856,0.0,0.0,6904136.803200001,476936.8032000009,11923.420080000024,465013.3831200009,0.0,0.0,3435852.5760000013,3435852.5760000013,3435852.5760000013,0.0,1.1452841920000005,3000000.0,fund_liquidity
jon_property_shock_40,jon_deal_1,6,6,True,10928262.254208002,6427200.0,0.0,4501062.254208002,1283689.0,0.0,482040.0,51347.56,750301.44,2.663034188034188,0.0,0.0,7649783.577945601,1222583.5779456012,30564.589448640032,1192018.988496961,0.0,0.0,4501062.254208002,4501062.254208002,4501062.254208002,0.0,1.5003540847360008,3000000.0,fund_liquidity
jon_property_shock_40,jon_deal_1,7,7,True,12108514.577662468,6427200.0,0.0,5681314.577662468,1322199.67,0.0,482040.0,52887.9868,787271.6832,2.7429252136752136,0.0,1997541.1992546348,8475960.204363728,2048760.204363728,51219.0051090932,1997541.1992546348,1997541.1992546348,1997541.1992546348,5681314.577662468,3683773.378407833,5681314.577662468,0.0,1.8937715258874894,3000000.0,fund_liquidity
jon_property_shock_40,jon_deal_1,8,8,True,13416234.152050016,6427200.0,0.0,6989034.152050016,1361865.6601000002,0.0,482040.0,54474.62640400001,825351.0336960002,2.8252129700854707,1997541.1992546348,1997541.1992546348,9391363.906435011,966622.7071803762,24165.567679509404,942457.1395008668,0.0,0.0,6989034.152050016,4991492.952795382,6989034.152050016,0.0,2.3296780506833388,3000000.0,fund_liquidity
jon_property_shock_40,jon_deal_1,9,9,True,13818721.176611517,6427200.0,0.0,7391521.176611517,1402721.629903,0.0,482040.0,56108.86519612,864572.7647068801,2.9099693591880342,1997541.1992546348,1997541.1992546348,9673104.82362806,1248363.6243734257,31209.090609335646,1217154.5337640902,0.0,0.0,7391521.176611517,5393979.977356882,7391521.176611517,0.0,2.463840392203839,3000000.0,fund_liquidity
jon_property_shock_40,jon_deal_1,10,10,True,14233282.811909862,6427200.0,0.0,7806082.811909862,1444803.27880009,0.0,482040.0,57792.1311520036,904971.1476480864,2.9972684399636753,1997541.1992546348,1997541.1992546348,9963297.968336903,1538556.7690822678,38463.91922705669,1500092.849855211,0.0,0.0,7806082.811909862,5808541.612655227,7806082.811909862,0.0,2.602027603969954,3000000.0,fund_liquidity
jon_property_shock_40,jon_deal_1,11,11,True,14660281.296267157,6427200.0,0.0,8233081.296267157,1488147.3771640928,0.0,482040.0,59525.895086563716,946581.4820775292,3.087186493162586,1997541.1992546348,1997541.1992546348,10262196.907387009,1837455.708132374,45936.39270330936,1791519.3154290647,0.0,0.0,8233081.296267157,6235540.097012523,8233081.296267157,0.0,2.7443604320890524,3000000.0,fund_liquidity
jon_property_shock_40,jon_deal_1,12,12,True,15100089.735155173,6427200.0,0.0,8672889.735155173,1532791.7984790157,0.0,482040.0,61311.67193916063,989440.126539855,3.1798020879574636,1997541.1992546348,1997541.1992546348,10570062.81460862,2145321.6153539857,53633.04038384964,2091688.574970136,0.0,0.0,8672889.735155173,6675348.535900538,8672889.735155173,0.0,2.8909632450517244,3000000.0,fund_liquidity
jon_upside_case,jon_deal_1,1,1,True,13000000.0,10000000.0,0.0,3000000.0,850000.0,0.0,750000.0,221250.0,-121250.0,1.1333333333333333,0.0,0.0,9100000.0,-900000.0,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,0.0,1.0,3000000.0,fund_liquidity
jon_upside_case,jon_deal_1,2,2,True,13650000.0,10000000.0,0.0,3650000.0,1130000.0,0.0,750000.0,168250.0,211750.0,1.5066666666666666,0.0,0.0,9555000.0,-445000.0,0.0,0.0,0.0,0.0,3650000.0,3650000.0,3650000.0,0.0,1.2166666666666666,3000000.0,fund_liquidity
jon_upside_case,jon_deal_1,3,3,True,14332500.0,10000000.0,0.0,4332500.0,1410000.0,0.0,750000.0,120250.0,539750.0,1.88,0.0,0.0,10032750.0,32750.0,491.25,32258.75,0.0,0.0,4332500.0,4332500.0,4332500.0,0.0,1.4441666666666666,3000000.0,fund_liquidity
jon_upside_case,jon_deal_1,4,4,True,15049125.000000002,10000000.0,0.0,5049125.000000002,1466400.0,0.0,750000.0,121660.0,594740.0,1.9552,0.0,526371.6875,10534387.5,534387.5,8015.8125,526371.6875,526371.6875,526371.6875,5049125.000000002,4522753.312500002,5049125.000000002,0.0,1.6830416666666672,3000000.0,fund_liquidity
jon_upside_case,jon_deal_1,5,5,True,15801581.250000004,10000000.0,0.0,5801581.250000004,1525056.0000000002,0.0,750000.0,38126.40000000001,736929.6000000002,2.033408,526371.6875,526371.6875,11061106.875000002,534735.1875000019,8021.027812500028,526714.1596875018,0.0,0.0,5801581.250000004,5275209.562500004,5801581.250000004,0.0,1.933860416666668,3000000.0,fund_liquidity
jon_upside_case,jon_deal_1,6,6,True,16591660.312500004,10000000.0,0.0,6591660.312500004,1586058.2400000002,0.0,750000.0,39651.456000000006,796406.7840000002,2.1147443200000002,526371.6875,526371.6875,11614162.218750002,1087790.5312500019,16316.857968750028,1071473.673281252,0.0,0.0,6591660.312500004,6065288.625000004,6591660.312500004,0.0,2.197220104166668,3000000.0,fund_liquidity
jon_upside_case,jon_deal_1,7,7,True,17421243.328125004,10000000.0,0.0,7421243.328125004,1649500.5696000003,0.0,750000.0,41237.51424000001,858263.0553600002,2.1993340928000005,526371.6875,2169842.8500546897,12194870.329687502,1668498.6421875022,25027.479632812534,1643471.1625546897,1643471.1625546897,1643471.1625546897,7421243.328125004,5251400.478070314,7421243.328125004,0.0,2.4737477760416677,3000000.0,fund_liquidity
jon_upside_case,jon_deal_1,8,8,True,18292305.494531255,10000000.0,0.0,8292305.494531255,1715480.592384,0.0,750000.0,42887.014809600005,922593.5775744001,2.287307456512,2169842.8500546897,2169842.8500546897,12804613.846171878,634770.9961171886,9521.564941757828,625249.4311754308,0.0,0.0,8292305.494531255,6122462.6444765655,8292305.494531255,0.0,2.7641018315104184,3000000.0,fund_liquidity
