scenario,year,bonus_depreciation,straight_line_depreciation,total_depreciation,cumulative_depreciation,interest_deduction,cumulative_interest_deduction,total_deductions,cumulative_deductions,hf_stcg,re_taxable_income,total_taxable_income_no_benefit,total_taxable_income_with_benefit,tax_no_benefit,tax_with_benefit,tax_savings,cumulative_tax_savings,lp_cash_distributions,after_tax_cash_ideal,cumulative_after_tax_cash_ideal,after_tax_moic_ideal,passive_loss_generated,passive_loss_used,passive_loss_carryforward
real_estate_distress_crypto_success,14,0.0,218181.81818181818,218181.81818181818,5054545.454545457,525000.0,7350000.0,743181.8181818181,12404545.454545457,159129.7468246318,-517279.0697762648,-139967.50476981478,-358149.322951633,0.0,0.0,0.0,149085.75605117666,21217.299576617574,21217.299576617574,542520.4131103038,0.05425204131103038,517279.0697762648,159129.7468246318,5283367.624683945
real_estate_distress_crypto_success,15,0.0,218181.81818181818,218181.81818181818,5272727.272727275,525000.0,7875000.0,743181.8181818181,13147727.272727275,152712.4119252424,-526247.4088879651,-155353.17878090462,-373534.99696272274,0.0,0.0,0.0,149085.75605117666,20361.654923365655,20361.654923365655,562882.0680336695,0.05628820680336695,526247.4088879651,152712.4119252424,5656902.621646668
real_estate_distress_crypto_success,16,0.0,218181.81818181818,218181.81818181818,5490909.090909094,525000.0,8400000.0,743181.8181818181,13890909.090909094,146552.84173987238,-534859.7049369311,-170125.0450152406,-388306.8631970588,0.0,0.0,0.0,149085.75605117666,19540.37889864965,19540.37889864965,582422.4469323191,0.05824224469323191,534859.7049369311,146552.84173987238,6045209.484843726
real_estate_distress_crypto_success,17,0.0,218181.81818181818,218181.81818181818,5709090.909090912,525000.0,8925000.0,743181.8181818181,14634090.909090912,140640.71311381966,-543130.0928327532,-184307.56153711537,-402489.37971893355,0.0,0.0,0.0,149085.75605117666,18752.09508184262,18752.09508184262,601174.5420141617,0.06011745420141617,543130.0928327532,140640.71311381966,6447698.86456266
real_estate_distress_crypto_success,18,0.0,218181.81818181818,218181.81818181818,5927272.72727273,525000.0,9450000.0,743181.8181818181,15377272.72727273,134966.1154184906,-551072.1463291111,-197924.2127288023,-416106.03091062047,0.0,0.0,0.0,149085.75605117666,17995.48205579875,17995.48205579875,619170.0240699605,0.06191700240699605,551072.1463291111,134966.1154184906,6863804.895473281
real_estate_distress_crypto_success,19,0.0,218181.81818181818,218181.81818181818,6145454.545454549,525000.0,9975000.0,743181.8181818181,16120454.545454549,129519.53409320742,-558698.9003016637,-210997.548026638,-429179.3662084562,0.0,0.0,0.0,149085.75605117666,17269.271212427655,17269.271212427655,636439.2952823881,0.06364392952823882,558698.9003016637,129519.53409320742,7292984.261681736
real_estate_distress_crypto_success,20,0.0,218181.81818181818,218181.81818181818,6363636.363636367,525000.0,10500000.0,743181.8181818181,16863636.363636367,124291.83484283306,-566022.8721415058,-223549.21911685448,-441731.0372986728,0.0,0.0,0.0,149085.75605117666,16572.244645711075,16572.244645711075,653011.5399280991,0.06530115399280992,566022.8721415058,124291.83484283306,7734715.298980409
exceptional_dynasty_outcome,1,2000000.0,218181.81818181818,2218181.8181818184,2218181.8181818184,525000.0,525000.0,2743181.8181818184,2743181.8181818184,517012.5,-2020681.8181818184,714512.5,-1503669.3181818184,264369.625,0.0,264369.625,264369.625,68935.0,333304.625,333304.625,0.0333304625,2020681.8181818184,517012.5,1503669.3181818184
exceptional_dynasty_outcome,2,0.0,218181.81818181818,218181.81818181818,2436363.6363636367,525000.0,1050000.0,743181.8181818181,3486363.6363636367,581782.5000000001,68330.18181818194,868294.5000000002,650112.6818181821,321268.9650000001,240541.69227272738,80727.2727272727,345096.8977272727,77571.00000000001,158298.2727272727,491602.8977272727,0.049160289772727274,0.0,581782.5000000001,921886.8181818182
exceptional_dynasty_outcome,3,0.0,218181.81818181818,218181.81818181818,2654545.454545455,525000.0,1575000.0,743181.8181818181,4229545.454545455,654618.0888000001,168308.460218182,1041108.3672000002,822926.5490181821,385210.0958640001,304482.8231367274,80727.2727272727,425824.1704545454,87282.41184000002,168009.68456727272,659612.5822945454,0.06596125822945453,0.0,654618.0888000001,267268.7293818181
